feature_idx,l1_norm_base,l1_norm_it,l2_norm_base,l2_norm_it,delta_l1_norm,delta_l2_norm,cosine_similarity,l1_norm_base_enc,l1_norm_it_enc,l2_norm_base_enc,l2_norm_it_enc,delta_l1_norm_enc,delta_l2_norm_enc,cosine_similarity_enc
54915,38.919357,48.413044,1.0366771,1.2779677,0.59804887,0.59440404,0.38038027,39.649696,39.899715,1.0276008,1.0343388,0.5031331,0.5032572,0.62156117
6281,40.7639,47.637638,1.0762767,1.2671002,0.57214606,0.5752993,0.38039625,46.200745,46.583523,1.1880213,1.2038785,0.5041085,0.5065859,0.76206696
23419,43.815224,44.36971,1.1560663,1.1817667,0.5062485,0.51087373,0.381068,45.59626,44.877613,1.1823988,1.162672,0.49211946,0.49165815,0.5857441
37805,38.52751,48.496346,1.0104256,1.2585332,0.6027792,0.59857017,0.38124612,46.59272,46.070824,1.1975974,1.1871159,0.49439937,0.49562395,0.7895421
30882,39.35842,51.41954,1.0398955,1.3757232,0.6172815,0.62205493,0.38378286,40.497746,40.162064,1.0393013,1.0324652,0.49585554,0.49671122,0.58115727
56548,39.36828,42.33719,1.0473036,1.1068208,0.5350627,0.5268866,0.3850903,46.77371,44.145187,1.2018225,1.1329283,0.4719017,0.4713376,0.7794613
71990,38.475994,45.312004,1.0470436,1.2252023,0.57543266,0.57270586,0.3856994,34.732445,34.887794,0.9145083,0.91557646,0.5022264,0.50058335,0.35495156
68781,41.86178,44.718224,1.0900505,1.1689947,0.53193825,0.53376585,0.38829052,45.291542,45.351418,1.165526,1.1600254,0.5006601,0.49764025,0.8302964
64468,41.777466,42.995064,1.1035389,1.1396985,0.51415974,0.51586366,0.38846615,43.084248,42.679108,1.094551,1.0830139,0.4952983,0.49472976,0.75222164
21988,45.59737,42.70195,1.1855276,1.1116701,0.46825016,0.4688504,0.39004052,42.688187,43.889717,1.0973198,1.1292559,0.5136881,0.5141403,0.7961024
5191,42.0619,41.780598,1.1108445,1.1067926,0.4966561,0.4981762,0.39177015,45.662544,45.571953,1.165395,1.1801147,0.49900803,0.50623655,0.7058768
41011,39.144142,44.053246,1.0398229,1.1573986,0.5557178,0.55079305,0.39217657,44.714466,45.68914,1.1477151,1.1734555,0.5106664,0.5109678,0.72393554
17692,39.81964,44.19618,1.0399069,1.1605554,0.5495126,0.55197877,0.39292422,46.356716,45.974552,1.2082438,1.1969615,0.495878,0.4953311,0.55311185
60690,37.7612,44.18131,1.0259383,1.1700352,0.5726564,0.56157804,0.39352185,44.51742,43.84049,1.1441723,1.1218153,0.49239698,0.49023005,0.7049729
37928,40.94539,44.562187,1.0824091,1.1731702,0.54058146,0.538682,0.39352724,38.993603,37.38095,1.0177017,0.9809989,0.4793216,0.48196778,0.5496709
